# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Motor mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Dynamic Pressure (mbar)
0.01,0,0.039,3.94,0.039,3.955,0,0,0,0,0.003,0.345,32.9,-106,32.123,84.826,0,0,0,2076.353,732.232,1762.713,6.11,NaN,103.801,NaN,0.011,1036896.41,645.105,0,0.666,0.001,0.552,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,85,0,12.986,99.62,1005.639,1161.628,0.01,0.001,0
0.02,0.003,0.529,48.977,0.531,49.164,0,0,0,0,0.046,4.285,32.9,-106,32.123,82.664,0,0,0,2075.644,731.522,1763.098,6.109,NaN,103.853,NaN,0.011,1036133.029,1455.735,0.001,0.666,0.003,0.552,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,85,0,12.923,99.62,1005.639,1161.628,0.01,0.001,0
0.03,0.013,1.469,94.045,1.475,94.404,0.001,0,0.001,0,0.129,8.228,32.9,-106,32.123,78.546,0,0,0,2074.934,730.813,1763.492,6.108,NaN,103.904,NaN,0.011,1043412.254,2266.365,0.002,0.665,0.012,0.551,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,85,0,12.859,99.62,1005.639,1161.628,0.01,0.002,0.001
0.04,0.038,3.521,205.204,3.534,205.988,0.003,0,0.003,0,0.308,17.953,32.9,-106,32.123,69.962,0,0,0,2073.871,729.75,1764.514,6.106,NaN,104.014,NaN,0.012,1083183.01,4264.805,0.01,0.661,0.056,0.547,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6,28.274,85,0,12.796,99.62,1005.639,1161.628,0.01,0.002,0.007
0.05,0.092,7.345,382.54,7.373,384.001,0.008,0,0.008,0,0.643,33.468,32.9,-106,32.123,56.228,0,0,0,2072.808,728.686,1765.577,6.104,NaN,104.124,NaN,0.013,1218150.765,7451.055,0.048,0.648,0.218,0.535,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,6,28.274,85,0,12.733,99.62,1005.639,1161.628,0.01,0.002,0.028
0.06,0.19,12.181,483.705,12.227,485.552,0.017,0,0.017,0,1.066,42.319,32.9,-106,32.123,43.556,0,0,0,2071.744,727.622,1766.191,6.102,NaN,104.197,NaN,0.016,1469068.794,9265.275,0.143,0.629,0.441,0.516,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,6,28.274,85,0,12.729,99.62,1005.639,1161.628,0.01,0.002,0.078
0.07,0.337,17.265,508.581,17.331,510.524,0.029,0,0.029,0,1.511,44.495,32.9,-106,32.123,34.507,0,0,0,2070.679,726.557,1766.822,6.101,NaN,104.27,NaN,0.019,1786332.121,9707.465,0.287,0.611,0.6,0.497,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,6,28.274,85,0,12.725,99.62,1005.639,1161.628,0.01,0.003,0.157
0.08,0.536,22.462,519.784,22.547,521.769,0.047,0,0.047,0,1.965,45.475,32.9,-106,32.123,28.179,0,0,0,2069.614,725.493,1767.424,6.099,NaN,104.339,NaN,0.023,2142328.981,9903.773,0.471,0.594,0.685,0.481,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,6,28.274,85,0,12.722,99.62,1005.639,1161.628,0.01,0.003,0.266
0.09,0.786,27.633,517.293,27.739,519.269,0.069,0,0.069,0,2.418,45.257,32.9,-106,32.123,23.71,0,0,0,2068.55,724.428,1768.042,6.097,NaN,104.408,NaN,0.027,2515096.878,9854.198,0.683,0.58,0.721,0.467,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,6,28.274,85,0,12.718,99.62,1005.638,1161.628,0.01,0.003,0.403
0.1,1.088,32.694,506.158,32.818,508.091,0.095,0,0.095,0,2.86,44.283,32.9,-106,32.123,20.472,0,0,0,2067.484,723.363,1768.294,6.095,NaN,104.45,NaN,0.031,2890826.506,9649.66,0.914,0.569,0.73,0.455,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,6,28.274,85,0,12.714,99.62,1005.638,1161.628,0.01,0.004,0.564
0.11,1.439,37.556,486.364,37.699,488.222,0.126,0,0.126,0,3.286,42.551,32.9,-106,32.123,18.202,0,0,0,2066.419,722.297,1768.551,6.094,NaN,104.492,NaN,0.035,3261796.419,9290.16,1.157,0.559,0.726,0.445,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,6,28.274,85,0,12.812,99.619,1005.637,1161.628,0.01,0.004,0.744
0.12,1.839,42.322,476.719,42.484,478.54,0.161,0,0.161,0,3.703,41.708,32.9,-106,32.123,16.433,0,0,0,2065.708,721.587,1768.822,6.092,NaN,104.527,NaN,0.039,3629457.315,9114.405,1.413,0.551,0.715,0.437,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005,6,28.274,85,0,12.911,99.619,1005.637,1161.628,0.01,0.004,0.945
0.13,2.286,47.095,477.325,47.275,479.149,0.2,0,0.2,0,4.12,41.761,32.9,-106,32.123,14.988,0,0,0,2064.998,720.877,1769.097,6.091,NaN,104.561,NaN,0.043,4000410.606,9122.395,1.68,0.543,0.7,0.43,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006,6,28.274,85,0,13.01,99.619,1005.636,1161.627,0.01,0.005,1.171
0.14,2.78,51.873,477.931,52.071,479.757,0.243,0,0.243,0,4.538,41.814,32.9,-106,32.123,13.788,0,0,0,2064.288,720.167,1769.376,6.09,NaN,104.596,NaN,0.047,4373946.038,9130.385,1.958,0.537,0.683,0.423,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006,6,28.274,85,0,13.108,99.619,1005.635,1161.627,0.01,0.005,1.42
0.15,3.323,56.652,477.978,56.868,479.804,0.291,0,0.291,0,4.956,41.818,32.9,-106,32.123,12.777,0,0,0,2063.223,719.102,1770.273,6.088,NaN,104.679,NaN,0.051,4749101.187,9126.813,2.25,0.531,0.666,0.417,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007,6,28.274,85,0,13.207,99.619,1005.634,1161.627,0.01,0.005,1.694
0.16,3.913,61.424,477.379,61.659,479.202,0.342,0,0.342,0,5.374,41.765,32.9,-106,32.123,11.747,0,0,0,2062.158,718.037,1771.192,6.087,NaN,104.762,NaN,0.055,5120519.056,9111.678,2.545,0.526,0.647,0.412,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,6,28.274,85,0,13.11,99.619,1005.634,1161.627,0.01,0.005,1.992
0.17,4.551,66.116,469.324,66.369,471.116,0.398,0,0.398,0,5.784,41.06,32.9,-106,32.123,10.87,0,0,0,2061.092,716.971,1771.215,6.085,NaN,104.785,NaN,0.059,5487027.493,8963.265,2.847,0.521,0.631,0.407,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008,6,28.274,85,0,13.012,99.619,1005.633,1161.627,0.01,0.006,2.307
0.18,5.235,70.653,453.801,70.923,455.535,0.458,0,0.458,0,6.181,39.702,32.9,-106,32.123,10.125,0,0,0,2060.026,715.905,1771.24,6.083,NaN,104.809,NaN,0.063,5842417.995,8681.575,3.152,0.517,0.616,0.402,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,6,28.274,85,0,12.915,99.619,1005.632,1161.627,0.01,0.006,2.635
0.19,5.963,75.036,438.371,75.322,440.045,0.522,0,0.522,0,6.565,38.352,32.9,-106,32.123,9.484,0,0,0,2058.96,714.839,1771.27,6.081,NaN,104.832,NaN,0.067,6186490.953,8401.815,3.46,0.513,0.603,0.399,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009,6,28.274,85,0,12.818,99.618,1005.63,1161.626,0.01,0.006,2.972
0.2,6.735,79.265,423.032,79.568,424.648,0.589,0,0.589,0,6.935,37.011,32.9,-106,32.123,8.927,0,0,0,2057.895,713.773,1771.301,6.08,NaN,104.856,NaN,0.07,6519117.221,8123.985,3.769,0.509,0.591,0.395,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,6,28.274,85,0,12.721,99.618,1005.629,1161.626,0.01,0.006,3.316
0.21,7.548,83.407,414.294,83.726,415.877,0.66,0,0.66,0,7.297,36.246,32.9,-106,32.123,8.556,0,0,0,2057.362,713.24,1771.422,6.079,NaN,104.874,NaN,0.074,6848969.556,7966.278,4.099,0.506,0.583,0.392,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,6,28.274,85,0,12.814,99.618,1005.628,1161.626,0.01,0.007,3.672
0.22,8.403,87.53,412.284,87.864,413.859,0.735,0,0.735,0,7.658,36.07,32.9,-106,32.123,8.222,0,0,0,2056.829,712.707,1771.544,6.078,NaN,104.892,NaN,0.077,7177487.412,7928.692,4.44,0.503,0.575,0.389,0.013,0.101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011,6,28.274,85,0,12.907,99.618,1005.627,1161.626,0.01,0.007,4.044
0.23,9.299,91.632,410.272,91.982,411.839,0.814,0,0.814,0,8.017,35.894,32.9,-106,32.123,7.918,0,0,0,2056.296,712.174,1771.668,6.077,NaN,104.911,NaN,0.081,7504631.528,7891.108,4.793,0.5,0.568,0.386,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011,6,28.274,85,0,13,99.618,1005.625,1161.626,0.01,0.007,4.432
0.24,10.236,95.714,408.258,96.08,409.817,0.895,0,0.895,0,8.374,35.718,32.9,-106,32.123,7.641,0,0,0,2055.763,711.641,1771.792,6.076,NaN,104.929,NaN,0.084,7830369.258,7853.522,5.158,0.498,0.561,0.383,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012,6,28.274,85,0,13.093,99.617,1005.624,1161.625,0.01,0.007,4.836
0.25,11.213,99.781,406.787,100.162,408.34,0.981,0,0.981,0,8.73,35.589,32.9,-106,32.123,7.388,0,0,0,2054.697,710.575,1771.881,6.074,NaN,104.955,NaN,0.088,8155060.236,7823.608,5.534,0.495,0.555,0.381,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012,6,28.274,85,0,13.187,99.617,1005.623,1161.625,0.01,0.007,5.255
0.26,12.231,103.837,405.745,104.234,407.295,1.07,0,1.07,0,9.085,35.498,32.9,-106,32.123,7.017,0,0,0,2053.631,709.509,1771.973,6.073,NaN,104.982,NaN,0.091,8474703.365,7801.362,5.897,0.493,0.548,0.378,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013,6,28.274,85,0,13.019,99.617,1005.621,1161.625,0.01,0.008,5.691
0.27,13.29,107.865,402.879,108.277,404.418,1.163,0,1.163,0,9.437,35.247,32.9,-106,32.123,6.674,0,0,0,2052.565,708.444,1772.269,6.071,NaN,105.02,NaN,0.095,8792395.072,7746.66,6.27,0.491,0.541,0.376,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013,6,28.274,85,0,12.851,99.617,1005.619,1161.625,0.01,0.008,6.141
0.28,14.388,111.846,398.185,112.273,399.706,1.259,0,1.259,0,9.785,34.837,32.9,-106,32.123,6.359,0,0,0,2051.499,707.378,1772.571,6.069,NaN,105.059,NaN,0.098,9106641.283,7659.5,6.649,0.489,0.535,0.374,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014,6,28.274,85,0,12.683,99.616,1005.618,1161.624,0.01,0.008,6.603
0.29,15.526,115.773,392.83,116.216,394.33,1.358,0,1.358,0,10.129,34.368,32.9,-106,32.123,6.066,0,0,0,2050.433,706.312,1772.883,6.067,NaN,105.098,NaN,0.102,9416878.817,7560.66,7.035,0.487,0.529,0.372,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014,6,28.274,85,0,12.515,99.616,1005.616,1161.624,0.01,0.008,7.075
0.3,16.703,119.64,386.811,120.097,388.289,1.461,0,1.461,0,10.467,33.842,32.9,-106,32.123,5.796,0,0,0,2049.367,705.246,1773.199,6.066,NaN,105.137,NaN,0.105,9722547.909,7450.14,7.426,0.485,0.524,0.37,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015,6,28.274,85,0,12.347,99.616,1005.614,1161.624,0.01,0.008,7.555
0.31,17.919,123.469,382.96,123.941,384.423,1.568,0,1.568,0,10.802,33.505,32.9,-106,32.123,5.632,0,0,0,2048.657,704.535,1773.561,6.064,NaN,105.171,NaN,0.108,10028268.301,7379.54,7.844,0.483,0.52,0.368,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015,6,28.274,85,0,12.376,99.615,1005.612,1161.623,0.01,0.009,8.047
0.32,19.173,127.282,381.352,127.769,382.809,1.677,0,1.677,0,11.136,33.364,32.9,-106,32.123,5.478,0,0,0,2047.946,703.824,1773.927,6.063,NaN,105.206,NaN,0.111,10332783.584,7348.86,8.27,0.481,0.517,0.366,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016,6,28.274,85,0,12.405,99.615,1005.611,1161.623,0.01,0.009,8.551
0.33,20.464,131.079,379.744,131.58,381.194,1.79,0,1.79,0,11.468,33.223,32.9,-106,32.123,5.334,0,0,0,2047.235,703.114,1774.297,6.062,NaN,105.24,NaN,0.115,10636084.84,7318.18,8.707,0.48,0.513,0.364,0.013,0.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016,6,28.274,85,0,12.434,99.615,1005.609,1161.623,0.01,0.009,9.069
